cpt_1,proc_type,procedure_group,Description
87511,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Gardnerella vaginalis, amplified probe technique"
87517,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); hepatitis B virus, quantification"
87528,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Herpes simplex virus, direct probe technique"
87538,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); HIV-2, amplified probe technique, includes reverse transcription when performed"
87551,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria species, amplified probe technique"
87621,Pathology and Laboratory,369-Other microbiology tests,NA
87623,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), low-risk types (eg, 6, 11, 42, 43, 44)"
87632,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 6-11 targets"
87635,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]), amplified probe technique"
87636,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) and influenza virus types A and B, multiplex amplified probe technique"
87640,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Staphylococcus aureus, amplified probe technique"
87661,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Trichomonas vaginalis, amplified probe technique"
87799,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism"
87801,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA), multiple organisms; amplified probe(s) technique"
87880,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group A"
87899,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; not otherwise specified"
87904,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent phenotype analysis by nucleic acid (DNA or RNA) with drug resistance tissue culture analysis, HIV 1; each additional drug tested (List separately in addition to code for primary procedure)"
87905,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent enzymatic activity other than virus (eg, sialidase activity in vaginal fluid)"
87999,Pathology and Laboratory,369-Other microbiology tests,Unlisted microbiology procedure
S3645,Temp Codes (Commercial),369-Other microbiology tests,HIV-1 antibody testing of oral mucosal transudate
U0002,COVID Testing,369-Other microbiology tests,"2019-nCoV coronavirus, SARS-CoV-2/2019-nCoV (COVID-19), any technique, multiple types or subtypes (includes all targets), non-CDC"
86408,Pathology and Laboratory,369-Other microbiology tests,"Neutralizing antibody, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]); screen"
87003,Pathology and Laboratory,369-Other microbiology tests,"Animal inoculation, small animal, with observation and dissection"
87083,Pathology and Laboratory,369-Other microbiology tests,NA
87084,Pathology and Laboratory,369-Other microbiology tests,"Culture, presumptive, pathogenic organisms, screening only; with colony estimation from density chart"
87106,Pathology and Laboratory,369-Other microbiology tests,"Culture, fungi, definitive identification, each organism; yeast"
87110,Pathology and Laboratory,369-Other microbiology tests,"Culture, chlamydia, any source"
87118,Pathology and Laboratory,369-Other microbiology tests,"Culture, mycobacterial, definitive identification, each isolate"
87149,Pathology and Laboratory,369-Other microbiology tests,"Culture, typing; identification by nucleic acid (DNA or RNA) probe, direct probe technique, per culture or isolate, each organism probed"
87153,Pathology and Laboratory,369-Other microbiology tests,"Culture, typing; identification by nucleic acid sequencing method, each isolate (eg, sequencing of the 16S rRNA gene)"
87154,Pathology and Laboratory,369-Other microbiology tests,"Culture, typing; identification of blood pathogen and resistance typing, when performed, by nucleic acid (DNA or RNA) probe, multiplexed amplified probe technique including multiplex reverse transcription, when performed, per culture or isolate, 6 or more targets"
87155,Pathology and Laboratory,369-Other microbiology tests,NA
87164,Pathology and Laboratory,369-Other microbiology tests,"Dark field examination, any source (eg, penile, vaginal, oral, skin); includes specimen collection"
87176,Pathology and Laboratory,369-Other microbiology tests,"Homogenization, tissue, for culture"
87205,Pathology and Laboratory,369-Other microbiology tests,"Smear, primary source with interpretation; Gram or Giemsa stain for bacteria, fungi, or cell types"
87206,Pathology and Laboratory,369-Other microbiology tests,"Smear, primary source with interpretation; fluorescent and/or acid fast stain for bacteria, fungi, parasites, viruses or cell types"
C9803,Temp Codes (Outpatient),369-Other microbiology tests,"Hospital outpatient clinic visit specimen collection for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]), any specimen source"
87001,Pathology and Laboratory,369-Other microbiology tests,NA
87117,Pathology and Laboratory,369-Other microbiology tests,NA
87140,Pathology and Laboratory,369-Other microbiology tests,"Culture, typing; immunofluorescent method, each antiserum"
87147,Pathology and Laboratory,369-Other microbiology tests,"Culture, typing; immunologic method, other than immunofluorescence (eg, agglutination grouping), per antiserum"
87207,Pathology and Laboratory,369-Other microbiology tests,"Smear, primary source with interpretation; special stain for inclusion bodies or parasites (eg, malaria, coccidia, microsporidia, trypanosomes, herpes viruses)"
87252,Pathology and Laboratory,369-Other microbiology tests,"Virus isolation; tissue culture inoculation, observation, and presumptive identification by cytopathic effect"
87272,Pathology and Laboratory,369-Other microbiology tests,Infectious agent antigen detection by immunofluorescent technique; cryptosporidium
87276,Pathology and Laboratory,369-Other microbiology tests,Infectious agent antigen detection by immunofluorescent technique; influenza A virus
87278,Pathology and Laboratory,369-Other microbiology tests,Infectious agent antigen detection by immunofluorescent technique; Legionella pneumophila
87280,Pathology and Laboratory,369-Other microbiology tests,Infectious agent antigen detection by immunofluorescent technique; respiratory syncytial virus
87283,Pathology and Laboratory,369-Other microbiology tests,Infectious agent antigen detection by immunofluorescent technique; Rubeola
87285,Pathology and Laboratory,369-Other microbiology tests,Infectious agent antigen detection by immunofluorescent technique; Treponema pallidum
87299,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunofluorescent technique; not otherwise specified, each organism"
87320,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Chlamydia trachomatis"
87329,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; giardia"
87332,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; cytomegalovirus"
87336,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Entamoeba histolytica dispar group"
87390,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; HIV-1"
87425,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; rotavirus"
87427,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Shiga-like toxin"
87430,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], fluorescence immunoassay [FIA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative; Streptococcus, group A"
87450,Pathology and Laboratory,369-Other microbiology tests,NA
87471,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Bartonella henselae and Bartonella quintana, amplified probe technique"
87481,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Candida species, amplified probe technique"
87483,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); central nervous system pathogen (eg, Neisseria meningitidis, Streptococcus pneumoniae, Listeria, Haemophilus influenzae, E. coli, Streptococcus agalactiae, enterovirus, human parechovirus, herpes simplex virus type 1 and 2, human herpesvirus 6, cytomegalovirus, varicella zoster virus, Cryptococcus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets"
87491,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia trachomatis, amplified probe technique"
87492,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia trachomatis, quantification"
87498,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); enterovirus, amplified probe technique, includes reverse transcription when performed"
87501,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, includes reverse transcription, when performed, and amplified probe technique, each type or subtype"
87512,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Gardnerella vaginalis, quantification"
87529,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Herpes simplex virus, amplified probe technique"
87530,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Herpes simplex virus, quantification"
87533,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Herpes virus-6, quantification"
87556,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria tuberculosis, amplified probe technique"
87560,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria avium-intracellulare, direct probe technique"
87590,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Neisseria gonorrhoeae, direct probe technique"
87591,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Neisseria gonorrhoeae, amplified probe technique"
87592,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Neisseria gonorrhoeae, quantification"
87662,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent detection by nucleic acid (DNA or RNA); Zika virus, amplified probe technique"
87802,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; Streptococcus, group B"
87806,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; HIV-1 antigen(s), with HIV-1 and HIV-2 antibodies"
87809,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; adenovirus"
87900,Pathology and Laboratory,369-Other microbiology tests,Infectious agent drug susceptibility phenotype prediction using regularly updated genotypic bioinformatics
87901,Pathology and Laboratory,369-Other microbiology tests,"Infectious agent genotype analysis by nucleic acid (DNA or RNA); HIV-1, reverse transcriptase and protease regions"
87910,Pathology and Laboratory,369-Other microbiology tests,Infectious agent genotype analysis by nucleic acid (DNA or RNA); cytomegalovirus
87912,Pathology and Laboratory,369-Other microbiology tests,Infectious agent genotype analysis by nucleic acid (DNA or RNA); Hepatitis B virus
G2023,Temp Codes (Professional),369-Other microbiology tests,"Specimen collection for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) (Coronavirus disease [COVID-19]), any specimen source"
G2024,Temp Codes (Professional),369-Other microbiology tests,"Specimen collection for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (coronavirus disease [COVID-19]) from an individual in a SNF or by a laboratory on behalf of a HHA, any specimen source"
Q0113,Temp Codes (Misc),369-Other microbiology tests,Pinworm examinations
G0144,Temp Codes (Professional),371-Pap smear,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system, under physician supervision"
G0145,Temp Codes (Professional),371-Pap smear,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system and manual rescreening under physician supervision"
G0148,Temp Codes (Professional),371-Pap smear,"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening"
P3000,Pathology and Lab,371-Pap smear,"Screening Papanicolaou smear, cervical or vaginal, up to three smears, by technician under physician supervision"
G0147,Temp Codes (Professional),371-Pap smear,"Screening cytopathology smears, cervical or vaginal, performed by automated system under physician supervision"
88142,Pathology and Laboratory,371-Pap smear,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation; manual screening under physician supervision"
88147,Pathology and Laboratory,371-Pap smear,"Cytopathology smears, cervical or vaginal; screening by automated system under physician supervision"
G0124,Temp Codes (Professional),371-Pap smear,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, requiring interpretation by physician"
G0143,Temp Codes (Professional),371-Pap smear,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with manual screening and rescreening by cytotechnologist under physician supervision"
88143,Pathology and Laboratory,371-Pap smear,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation; with manual screening and rescreening under physician supervision"
88145,Pathology and Laboratory,371-Pap smear,NA
88152,Pathology and Laboratory,371-Pap smear,"Cytopathology, slides, cervical or vaginal; with manual screening and computer-assisted rescreening under physician supervision"
88154,Pathology and Laboratory,371-Pap smear,NA
88155,Pathology and Laboratory,371-Pap smear,"Cytopathology, slides, cervical or vaginal, definitive hormonal evaluation (eg, maturation index, karyopyknotic index, estrogenic index) (List separately in addition to code[s] for other technical and interpretation services)"
88164,Pathology and Laboratory,371-Pap smear,"Cytopathology, slides, cervical or vaginal (the Bethesda System); manual screening under physician supervision"
88141,Pathology and Laboratory,371-Pap smear,"Cytopathology, cervical or vaginal (any reporting system), requiring interpretation by physician"
88153,Pathology and Laboratory,371-Pap smear,"Cytopathology, slides, cervical or vaginal; with manual screening and rescreening under physician supervision"
88165,Pathology and Laboratory,371-Pap smear,"Cytopathology, slides, cervical or vaginal (the Bethesda System); with manual screening and rescreening under physician supervision"
88167,Pathology and Laboratory,371-Pap smear,"Cytopathology, slides, cervical or vaginal (the Bethesda System); with manual screening and computer-assisted rescreening using cell selection and review under physician supervision"
88175,Pathology and Laboratory,371-Pap smear,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation; with screening by automated system and manual rescreening or review, under physician supervision"
88148,Pathology and Laboratory,371-Pap smear,"Cytopathology smears, cervical or vaginal; screening by automated system with manual rescreening under physician supervision"
88150,Pathology and Laboratory,371-Pap smear,"Cytopathology, slides, cervical or vaginal; manual screening under physician supervision"
88174,Pathology and Laboratory,371-Pap smear,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation; screening by automated system, under physician supervision"
G0123,Temp Codes (Professional),371-Pap smear,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, screening by cytotechnologist under physician supervision"
G0141,Temp Codes (Professional),371-Pap smear,"Screening cytopathology smears, cervical or vaginal, performed by automated system, with manual rescreening, requiring interpretation by physician"
Q0091,Temp Codes (Misc),371-Pap smear,"Screening Papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory"
P3001,Pathology and Lab,371-Pap smear,"Screening Papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician"
83912,Pathology and Laboratory,372-Surgical pathology,NA
88377,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, in situ hybridization (quantitative or semi-quantitative), manual, per specimen; each multiplex probe stain procedure"
88385,Pathology and Laboratory,372-Surgical pathology,NA
88388,Pathology and Laboratory,372-Surgical pathology,"Macroscopic examination, dissection, and preparation of tissue for non-microscopic analytical studies (eg, nucleic acid-based molecular studies); in conjunction with a touch imprint, intraoperative consultation, or frozen section, each tissue preparation (eg, a single lymph node) (List separately in addition to code for primary procedure)"
G0416,Temp Codes (Professional),372-Surgical pathology,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method"
G0364,Temp Codes (Professional),372-Surgical pathology,NA
G0465,Temp Codes (Professional),372-Surgical pathology,"Autologous platelet rich plasma (PRP) for diabetic chronic wounds/ulcers, using an FDA-cleared device (includes administration, dressings, phlebotomy, centrifugation, and all other preparatory procedures, per treatment)"
88304,Pathology and Laboratory,372-Surgical pathology,"Level III - Surgical pathology, gross and microscopic examination Abortion, induced Abscess Aneurysm - arterial/ventricular Anus, tag Appendix, other than incidental Artery, atheromatous plaque Bartholin's gland cyst Bone fragment(s), other than pathologic fracture Bursa/synovial cyst Carpal tunnel tissue Cartilage, shavings Cholesteatoma Colon, colostomy stoma Conjunctiva - biopsy/pterygium Cornea Diverticulum - esophagus/small intestine Dupuytren's contracture tissue Femoral head, other than fracture Fissure/fistula Foreskin, other than newborn Gallbladder Ganglion cyst Hematoma Hemorrhoids Hydatid of Morgagni Intervertebral disc Joint, loose body Meniscus Mucocele, salivary Neuroma - Morton's/traumatic Pilonidal cyst/sinus Polyps, inflammatory - nasal/sinusoidal Skin - cyst/tag/debridement Soft tissue, debridement Soft tissue, lipoma Spermatocele Tendon/tendon sheath Testicular appendage Thrombus or embolus Tonsil and/or adenoids Varicocele Vas deferens, other than sterilization Vein, varicosity"
88309,Pathology and Laboratory,372-Surgical pathology,"Level VI - Surgical pathology, gross and microscopic examination Bone resection Breast, mastectomy - with regional lymph nodes Colon, segmental resection for tumor Colon, total resection Esophagus, partial/total resection Extremity, disarticulation Fetus, with dissection Larynx, partial/total resection - with regional lymph nodes Lung - total/lobe/segment resection Pancreas, total/subtotal resection Prostate, radical resection Small intestine, resection for tumor Soft tissue tumor, extensive resection Stomach - subtotal/total resection for tumor Testis, tumor Tongue/tonsil -resection for tumor Urinary bladder, partial/total resection Uterus, with or without tubes and ovaries, neoplastic Vulva, total/subtotal resection"
88319,Pathology and Laboratory,372-Surgical pathology,"Special stain including interpretation and report; Group III, for enzyme constituents"
88325,Pathology and Laboratory,372-Surgical pathology,"Consultation, comprehensive, with review of records and specimens, with report on referred material"
88333,Pathology and Laboratory,372-Surgical pathology,"Pathology consultation during surgery; cytologic examination (eg, touch prep, squash prep), initial site"
88341,Pathology and Laboratory,372-Surgical pathology,"Immunohistochemistry or immunocytochemistry, per specimen; each additional single antibody stain procedure (List separately in addition to code for primary procedure)"
88343,Pathology and Laboratory,372-Surgical pathology,NA
88355,Pathology and Laboratory,372-Surgical pathology,Morphometric analysis; skeletal muscle
88358,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis; tumor (eg, DNA ploidy)"
88367,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, in situ hybridization (quantitative or semi-quantitative), using computer-assisted technology, per specimen; initial single probe stain procedure"
88371,Pathology and Laboratory,372-Surgical pathology,"Protein analysis of tissue by Western Blot, with interpretation and report;"
88374,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, in situ hybridization (quantitative or semi-quantitative), using computer-assisted technology, per specimen; each multiplex probe stain procedure"
88375,Pathology and Laboratory,372-Surgical pathology,"Optical endomicroscopic image(s), interpretation and report, real-time or referred, each endoscopic session"
88300,Pathology and Laboratory,372-Surgical pathology,"Level I - Surgical pathology, gross examination only"
88302,Pathology and Laboratory,372-Surgical pathology,"Level II - Surgical pathology, gross and microscopic examination Appendix, incidental Fallopian tube, sterilization Fingers/toes, amputation, traumatic Foreskin, newborn Hernia sac, any location Hydrocele sac Nerve Skin, plastic repair Sympathetic ganglion Testis, castration Vaginal mucosa, incidental Vas deferens, sterilization"
88305,Pathology and Laboratory,372-Surgical pathology,"Level IV - Surgical pathology, gross and microscopic examination Abortion - spontaneous/missed Artery, biopsy Bone marrow, biopsy Bone exostosis Brain/meninges, other than for tumor resection Breast, biopsy, not requiring microscopic evaluation of surgical margins Breast, reduction mammoplasty Bronchus, biopsy Cell block, any source Cervix, biopsy Colon, biopsy Duodenum, biopsy Endocervix, curettings/biopsy Endometrium, curettings/biopsy Esophagus, biopsy Extremity, amputation, traumatic Fallopian tube, biopsy Fallopian tube, ectopic pregnancy Femoral head, fracture Fingers/toes, amputation, non-traumatic Gingiva/oral mucosa, biopsy Heart valve Joint, resection Kidney, biopsy Larynx, biopsy Leiomyoma(s), uterine myomectomy - without uterus Lip, biopsy/wedge resection Lung, transbronchial biopsy Lymph node, biopsy Muscle, biopsy Nasal mucosa, biopsy Nasopharynx/oropharynx, biopsy Nerve, biopsy Odontogenic/dental cyst Omentum, biopsy Ovary with or without tube, non-neoplastic Ovary, biopsy/wedge resection Parathyroid gland Peritoneum, biopsy Pituitary tumor Placenta, other than third trimester Pleura/pericardium - biopsy/tissue Polyp, cervical/endometrial Polyp, colorectal Polyp, stomach/small intestine Prostate, needle biopsy Prostate, TUR Salivary gland, biopsy Sinus, paranasal biopsy Skin, other than cyst/tag/debridement/plastic repair Small intestine, biopsy Soft tissue, other than tumor/mass/lipoma/debridement Spleen Stomach, biopsy Synovium Testis, other than tumor/biopsy/castration Thyroglossal duct/brachial cleft cyst Tongue, biopsy Tonsil, biopsy Trachea, biopsy Ureter, biopsy Urethra, biopsy Urinary bladder, biopsy Uterus, with or without tubes and ovaries, for prolapse Vagina, biopsy Vulva/labia, biopsy"
88313,Pathology and Laboratory,372-Surgical pathology,"Special stain including interpretation and report; Group II, all other (eg, iron, trichrome), except stain for microorganisms, stains for enzyme constituents, or immunocytochemistry and immunohistochemistry"
88314,Pathology and Laboratory,372-Surgical pathology,Special stain including interpretation and report; histochemical stain on frozen tissue block (List separately in addition to code for primary procedure)
88329,Pathology and Laboratory,372-Surgical pathology,Pathology consultation during surgery;
88344,Pathology and Laboratory,372-Surgical pathology,"Immunohistochemistry or immunocytochemistry, per specimen; each multiplex antibody stain procedure"
88360,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual"
88365,Pathology and Laboratory,372-Surgical pathology,"In situ hybridization (eg, FISH), per specimen; initial single probe stain procedure"
88366,Pathology and Laboratory,372-Surgical pathology,"In situ hybridization (eg, FISH), per specimen; each multiplex probe stain procedure"
88381,Pathology and Laboratory,372-Surgical pathology,"Microdissection (ie, sample preparation of microscopically identified target); manual"
88387,Pathology and Laboratory,372-Surgical pathology,"Macroscopic examination, dissection, and preparation of tissue for non-microscopic analytical studies (eg, nucleic acid-based molecular studies); each tissue preparation (eg, a single lymph node)"
88311,Pathology and Laboratory,372-Surgical pathology,Decalcification procedure (List separately in addition to code for surgical pathology examination)
88312,Pathology and Laboratory,372-Surgical pathology,"Special stain including interpretation and report; Group I for microorganisms (eg, acid fast, methenamine silver)"
88323,Pathology and Laboratory,372-Surgical pathology,Consultation and report on referred material requiring preparation of slides
88331,Pathology and Laboratory,372-Surgical pathology,"Pathology consultation during surgery; first tissue block, with frozen section(s), single specimen"
88332,Pathology and Laboratory,372-Surgical pathology,Pathology consultation during surgery; each additional tissue block with frozen section(s) (List separately in addition to code for primary procedure)
88334,Pathology and Laboratory,372-Surgical pathology,"Pathology consultation during surgery; cytologic examination (eg, touch prep, squash prep), each additional site (List separately in addition to code for primary procedure)"
88346,Pathology and Laboratory,372-Surgical pathology,"Immunofluorescence, per specimen; initial single antibody stain procedure"
88350,Pathology and Laboratory,372-Surgical pathology,"Immunofluorescence, per specimen; each additional single antibody stain procedure (List separately in addition to code for primary procedure)"
88356,Pathology and Laboratory,372-Surgical pathology,Morphometric analysis; nerve
88362,Pathology and Laboratory,372-Surgical pathology,Nerve teasing preparations
88364,Pathology and Laboratory,372-Surgical pathology,"In situ hybridization (eg, FISH), per specimen; each additional single probe stain procedure (List separately in addition to code for primary procedure)"
88369,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, in situ hybridization (quantitative or semi-quantitative), manual, per specimen; each additional single probe stain procedure (List separately in addition to code for primary procedure)"
88380,Pathology and Laboratory,372-Surgical pathology,"Microdissection (ie, sample preparation of microscopically identified target); laser capture"
88386,Pathology and Laboratory,372-Surgical pathology,NA
88399,Pathology and Laboratory,372-Surgical pathology,Unlisted surgical pathology procedure
88307,Pathology and Laboratory,372-Surgical pathology,"Level V - Surgical pathology, gross and microscopic examination Adrenal, resection Bone - biopsy/curettings Bone fragment(s), pathologic fracture Brain, biopsy Brain/meninges, tumor resection Breast, excision of lesion, requiring microscopic evaluation of surgical margins Breast, mastectomy - partial/simple Cervix, conization Colon, segmental resection, other than for tumor Extremity, amputation, non-traumatic Eye, enucleation Kidney, partial/total nephrectomy Larynx, partial/total resection Liver, biopsy - needle/wedge Liver, partial resection Lung, wedge biopsy Lymph nodes, regional resection Mediastinum, mass Myocardium, biopsy Odontogenic tumor Ovary with or without tube, neoplastic Pancreas, biopsy Placenta, third trimester Prostate, except radical resection Salivary gland Sentinel lymph node Small intestine, resection, other than for tumor Soft tissue mass (except lipoma) - biopsy/simple excision Stomach - subtotal/total resection, other than for tumor Testis, biopsy Thymus, tumor Thyroid, total/lobe Ureter, resection Urinary bladder, TUR Uterus, with or without tubes and ovaries, other than neoplastic/prolapse"
88321,Pathology and Laboratory,372-Surgical pathology,Consultation and report on referred slides prepared elsewhere
88342,Pathology and Laboratory,372-Surgical pathology,"Immunohistochemistry or immunocytochemistry, per specimen; initial single antibody stain procedure"
88348,Pathology and Laboratory,372-Surgical pathology,"Electron microscopy, diagnostic"
88361,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; using computer-assisted technology"
88363,Pathology and Laboratory,372-Surgical pathology,"Examination and selection of retrieved archival (ie, previously diagnosed) tissue(s) for molecular analysis (eg, KRAS mutational analysis)"
88368,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, in situ hybridization (quantitative or semi-quantitative), manual, per specimen; initial single probe stain procedure"
88372,Pathology and Laboratory,372-Surgical pathology,"Protein analysis of tissue by Western Blot, with interpretation and report; immunological probe for band identification, each"
88373,Pathology and Laboratory,372-Surgical pathology,"Morphometric analysis, in situ hybridization (quantitative or semi-quantitative), using computer-assisted technology, per specimen; each additional single probe stain procedure (List separately in addition to code for primary procedure)"
83896,Pathology and Laboratory,372-Surgical pathology,NA
G0418,Temp Codes (Professional),372-Surgical pathology,NA
